Latitude,Longitude,Elevation
-27.636251,27.235929,1407.595825195312
-27.636252,27.23593,1407.592895507812
-27.636253,27.235931,1407.589965820312
-27.636254,27.235932,1407.587036132812
-27.636255,27.235933,1407.584106445312
-27.636255,27.235932,1407.585571289062
-27.636255,27.235931,1407.587036132812
-27.636255,27.23593,1407.588500976562
-27.636255,27.235929,1407.589965820312
-27.636256,27.23592825,1407.589599609375
-27.636257,27.2359275,1407.589233398438
-27.636258,27.23592675,1407.5888671875
-27.636259,27.235926,1407.588500976562
-27.636259,27.235925,1407.589965820312
-27.636259,27.235924,1407.591430664062
-27.636259,27.235923,1407.592895507812
-27.636259,27.235922,1407.594360351562
-27.63626,27.235921,1407.594360351562
-27.636261,27.23592,1407.594360351562
-27.636262,27.235919,1407.594360351562
-27.636263,27.235918,1407.594360351562
-27.636264,27.2359165,1407.595092773438
-27.636265,27.235915,1407.595825195312
-27.636266,27.2359135,1407.596557617188
-27.636267,27.235912,1407.597290039062
-27.636267,27.235912,1407.597290039062
-27.636267,27.235912,1407.597290039062
-27.636267,27.235912,1407.597290039062
-27.636267,27.235912,1407.597290039062
-27.636267,27.23591125,1407.598388671875
-27.636267,27.2359105,1407.599487304688
-27.636267,27.23590975,1407.6005859375
-27.636267,27.235909,1407.601684570312
-27.636268,27.235909,1407.600219726562
-27.636269,27.235909,1407.598754882812
-27.63627,27.235909,1407.597290039062
-27.636271,27.235909,1407.595825195312
-27.63627175,27.235908,1407.59619140625
-27.6362725,27.235907,1407.596557617188
-27.63627325,27.235906,1407.596923828125
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235904,1407.598754882812
-27.636274,27.235903,1407.600219726562
-27.636274,27.235902,1407.601684570312
-27.636274,27.235901,1407.603149414062
-27.6362755,27.235901,1407.600952148438
-27.636277,27.235901,1407.598754882812
-27.6362785,27.235901,1407.596557617188
-27.63628,27.235901,1407.594360351562
-27.63628,27.235901,1407.594360351562
-27.63628,27.235901,1407.594360351562
-27.63628,27.235901,1407.594360351562
-27.63628,27.235901,1407.594360351562
-27.6362785,27.235902,1407.595092773438
-27.636277,27.235903,1407.595825195312
-27.6362755,27.235904,1407.596557617188
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.636274,27.235905,1407.597290039062
-27.63627325,27.235906,1407.596923828125
-27.6362725,27.235907,1407.596557617188
-27.63627175,27.235908,1407.59619140625
-27.636271,27.235909,1407.595825195312
-27.636271,27.235909,1407.595825195312
-27.636271,27.235909,1407.595825195312
-27.636271,27.235909,1407.595825195312
-27.636271,27.235909,1407.595825195312
-27.636271,27.23590975,1407.5947265625
-27.636271,27.2359105,1407.593627929688
-27.636271,27.23591125,1407.592529296875
-27.636271,27.235912,1407.591430664062
-27.63627175,27.235912,1407.59033203125
-27.6362725,27.235912,1407.589233398438
-27.63627325,27.235912,1407.588134765625
-27.636274,27.235912,1407.587036132812
-27.636274,27.235912,1407.587036132812
-27.636274,27.235912,1407.587036132812
-27.636274,27.235912,1407.587036132812
-27.636274,27.235912,1407.587036132812
-27.6362755,27.235912,1407.584838867188
-27.636277,27.235912,1407.582763671875
-27.6362785,27.235912,1407.58056640625
-27.63628,27.235912,1407.578369140625
-27.636281,27.2359135,1407.57470703125
-27.636282,27.235915,1407.571044921875
-27.636283,27.2359165,1407.5673828125
-27.636284,27.235918,1407.563720703125
-27.636285,27.235918,1407.562255859375
-27.636286,27.235918,1407.560913085938
-27.636287,27.235918,1407.559448242188
-27.636288,27.235918,1407.557983398438
-27.636289,27.235918,1407.556518554688
-27.63629,27.235918,1407.555053710938
-27.636291,27.235918,1407.553588867188
-27.636292,27.235918,1407.552124023438
-27.636292,27.235918,1407.552124023438
-27.636292,27.235918,1407.552124023438
-27.636292,27.235918,1407.552124023438
-27.636292,27.235918,1407.552124023438
-27.63629275,27.235918,1407.551025390625
-27.6362935,27.235918,1407.549926757812
-27.63629425,27.235918,1407.548828125
-27.636295,27.235918,1407.547729492188
-27.636295,27.235918,1407.547729492188
-27.636295,27.235918,1407.547729492188
-27.636295,27.235918,1407.547729492188
-27.636295,27.235918,1407.547729492188
-27.636295,27.235918,1407.547729492188
-27.636295,27.235918,1407.547729492188
-27.636295,27.235918,1407.547729492188
-27.636295,27.235918,1407.547729492188
-27.636296,27.235918,1407.546264648438
-27.636297,27.235918,1407.544799804688
-27.636298,27.235918,1407.543334960938
-27.636299,27.235918,1407.541870117188
-27.636299,27.2359165,1407.544067382812
-27.636299,27.235915,1407.546264648438
-27.636299,27.2359135,1407.548461914062
-27.636299,27.235912,1407.550659179688
-27.636299,27.235912,1407.550659179688
-27.636299,27.235912,1407.550659179688
-27.636299,27.235912,1407.550659179688
-27.636299,27.235912,1407.550659179688
-27.636299,27.235912,1407.550659179688
-27.636299,27.235912,1407.550659179688
-27.636299,27.235912,1407.550659179688
-27.636299,27.235912,1407.550659179688
-27.636299,27.23591125,1407.5517578125
-27.636299,27.2359105,1407.552856445312
-27.636299,27.23590975,1407.553955078125
-27.636299,27.235909,1407.555053710938
-27.636299,27.235908,1407.556518554688
-27.636299,27.235907,1407.557983398438
-27.636299,27.235906,1407.559448242188
-27.636299,27.235905,1407.560913085938
-27.636299,27.235905,1407.560913085938
-27.636299,27.235905,1407.560913085938
-27.636299,27.235905,1407.560913085938
-27.636299,27.235905,1407.560913085938
-27.636299,27.235905,1407.560913085938
-27.636299,27.235905,1407.560913085938
-27.636299,27.235905,1407.560913085938
-27.636299,27.235905,1407.560913085938
-27.636299,27.235904,1407.562255859375
-27.636299,27.235903,1407.563720703125
-27.636299,27.235902,1407.565185546875
-27.636299,27.235901,1407.566650390625
-27.636299,27.2359,1407.568115234375
-27.636299,27.235899,1407.569580078125
-27.636299,27.235898,1407.571044921875
-27.636299,27.235897,1407.572509765625
-27.636298,27.235897,1407.573974609375
-27.636297,27.235897,1407.575439453125
-27.636296,27.235897,1407.576904296875
-27.636295,27.235897,1407.578369140625
-27.63629425,27.235897,1407.579467773438
-27.6362935,27.235897,1407.58056640625
-27.63629275,27.235897,1407.581665039062
-27.636292,27.235897,1407.582763671875
-27.636292,27.235897,1407.582763671875
-27.636292,27.235897,1407.582763671875
-27.636292,27.235897,1407.582763671875
-27.636292,27.235897,1407.582763671875
-27.636291,27.235898,1407.582763671875
-27.63629,27.235899,1407.582763671875
-27.636289,27.2359,1407.582763671875
-27.636288,27.235901,1407.582763671875
-27.636288,27.235901,1407.582763671875
-27.636288,27.235901,1407.582763671875
-27.636288,27.235901,1407.582763671875
-27.636288,27.235901,1407.582763671875
-27.636288,27.235902,1407.581298828125
-27.636288,27.235903,1407.579833984375
-27.636288,27.235904,1407.578369140625
-27.636288,27.235905,1407.576904296875
-27.636289,27.235906,1407.573974609375
-27.63629,27.235907,1407.571044921875
-27.636291,27.235908,1407.568115234375
-27.636292,27.235909,1407.565185546875
-27.636291,27.23590975,1407.565551757812
-27.63629,27.2359105,1407.56591796875
-27.636289,27.23591125,1407.566284179688
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636289,27.2359135,1407.56298828125
-27.63629,27.235915,1407.559448242188
-27.636291,27.2359165,1407.555786132812
-27.636292,27.235918,1407.552124023438
-27.636292,27.235918,1407.552124023438
-27.636292,27.235918,1407.552124023438
-27.636292,27.235918,1407.552124023438
-27.636292,27.235918,1407.552124023438
-27.636291,27.2359165,1407.555786132812
-27.63629,27.235915,1407.559448242188
-27.636289,27.2359135,1407.56298828125
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.235912,1407.566650390625
-27.636288,27.23591125,1407.567749023438
-27.636288,27.2359105,1407.56884765625
-27.636288,27.23590975,1407.569946289062
-27.636288,27.235909,1407.571044921875
-27.636288,27.235909,1407.571044921875
-27.636288,27.235909,1407.571044921875
-27.636288,27.235909,1407.571044921875
-27.636288,27.235909,1407.571044921875
-27.636287,27.235908,1407.573974609375
-27.636286,27.235907,1407.576904296875
-27.636285,27.235906,1407.579833984375
-27.636284,27.235905,1407.582763671875
-27.636284,27.235904,1407.584106445312
-27.636284,27.235903,1407.585571289062
-27.636284,27.235902,1407.587036132812
-27.636284,27.235901,1407.588500976562
-27.636284,27.2359,1407.589965820312
-27.636284,27.235899,1407.591430664062
-27.636284,27.235898,1407.592895507812
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636283,27.235897,1407.595825195312
-27.636282,27.235897,1407.597290039062
-27.636281,27.235897,1407.598754882812
-27.63628,27.235897,1407.600219726562
-27.63628,27.235898,1407.598754882812
-27.63628,27.235899,1407.597290039062
-27.63628,27.2359,1407.595825195312
-27.63628,27.235901,1407.594360351562
-27.63628,27.235902,1407.592895507812
-27.63628,27.235903,1407.591430664062
-27.63628,27.235904,1407.589965820312
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235905,1407.588500976562
-27.63628,27.235904,1407.589965820312
-27.63628,27.235903,1407.591430664062
-27.63628,27.235902,1407.592895507812
-27.63628,27.235901,1407.594360351562
-27.636281,27.235901,1407.592895507812
-27.636282,27.235901,1407.591430664062
-27.636283,27.235901,1407.589965820312
-27.636284,27.235901,1407.588500976562
-27.636284,27.235901,1407.588500976562
-27.636284,27.235901,1407.588500976562
-27.636284,27.235901,1407.588500976562
-27.636284,27.235901,1407.588500976562
-27.636284,27.235901,1407.588500976562
-27.636284,27.235901,1407.588500976562
-27.636284,27.235901,1407.588500976562
-27.636284,27.235901,1407.588500976562
-27.636284,27.2359,1407.589965820312
-27.636284,27.235899,1407.591430664062
-27.636284,27.235898,1407.592895507812
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235897,1407.594360351562
-27.636284,27.235896,1407.595825195312
-27.636284,27.235895,1407.597290039062
-27.636284,27.235894,1407.598754882812
-27.636284,27.235893,1407.600219726562
-27.636284,27.235893,1407.600219726562
-27.636284,27.235893,1407.600219726562
-27.636284,27.235893,1407.600219726562
-27.636284,27.235893,1407.600219726562
-27.636284,27.235893,1407.600219726562
-27.636284,27.235893,1407.600219726562
-27.636284,27.235893,1407.600219726562
-27.636284,27.235893,1407.600219726562
-27.636284,27.235894,1407.598754882812
-27.636284,27.235895,1407.597290039062
-27.636284,27.235896,1407.595825195312
-27.636284,27.235897,1407.594360351562
-27.636285,27.235897,1407.592895507812
-27.636286,27.235897,1407.591430664062
-27.636287,27.235897,1407.589965820312
-27.636288,27.235897,1407.588500976562
-27.636287,27.235897,1407.589965820312
-27.636286,27.235897,1407.591430664062
-27.636285,27.235897,1407.592895507812
-27.636284,27.235897,1407.594360351562
-27.636284,27.235898,1407.592895507812
-27.636284,27.235899,1407.591430664062
-27.636284,27.2359,1407.589965820312
-27.636284,27.235901,1407.588500976562
-27.636284,27.235902,1407.587036132812
-27.636284,27.235903,1407.585571289062
-27.636284,27.235904,1407.584106445312
-27.636284,27.235905,1407.582763671875
-27.636284,27.235905,1407.582763671875
-27.636284,27.235905,1407.582763671875
-27.636284,27.235905,1407.582763671875
-27.636284,27.235905,1407.582763671875
-27.636284,27.235905,1407.582763671875
-27.636284,27.235905,1407.582763671875
-27.636284,27.235905,1407.582763671875
-27.636284,27.235905,1407.582763671875
-27.636283,27.235906,1407.582763671875
-27.636282,27.235907,1407.582763671875
-27.636281,27.235908,1407.582763671875
-27.63628,27.235909,1407.582763671875
-27.6362785,27.235909,1407.584838867188
-27.636277,27.235909,1407.587036132812
-27.6362755,27.235909,1407.589233398438
-27.636274,27.235909,1407.591430664062
-27.636274,27.235909,1407.591430664062
-27.636274,27.235909,1407.591430664062
-27.636274,27.235909,1407.591430664062
-27.636274,27.235909,1407.591430664062
-27.636274,27.235909,1407.591430664062
-27.636274,27.235909,1407.591430664062
-27.636274,27.235909,1407.591430664062
-27.636274,27.235909,1407.591430664062
-27.636274,27.23590975,1407.59033203125
-27.636274,27.2359105,1407.589233398438
-27.636274,27.23591125,1407.588134765625
-27.636274,27.235912,1407.587036132812
-27.636274,27.2359135,1407.584838867188
-27.636274,27.235915,1407.582763671875
-27.636274,27.2359165,1407.58056640625
-27.636274,27.235918,1407.578369140625
-27.636274,27.235918,1407.578369140625
